date,forecast,mae
11/11/2019,-0.0059,0.025375428
11/12/2019,0.0025,0.025322736
11/13/2019,0.0005,0.025366366
11/14/2019,-0.0012,0.0253554
11/15/2019,0.0009,0.025345365
11/16/2019,-0.0013,0.025345201
11/17/2019,-0.0016,0.025336842
11/18/2019,-0.0025,0.025244075
11/19/2019,-0.0018,0.025244798
11/20/2019,-0.0002,0.025320363
11/21/2019,-0.0029,0.025237488
11/22/2019,0.0020,0.025327536
11/23/2019,-0.0006,0.025341297
11/24/2019,-0.0017,0.025335387
11/25/2019,-0.0039,0.025341324
11/26/2019,0.0010,0.025303733
11/27/2019,-0.0050,0.025295051
11/28/2019,0.0000,0.025264715
11/29/2019,-0.0012,0.025335003
11/30/2019,-0.0006,0.02526973
12/1/2019,-0.0002,0.025339346
12/2/2019,0.0015,0.02526096
12/3/2019,0.0009,0.025342893
12/4/2019,-0.0022,0.025274007
12/5/2019,0.0029,0.025306306
12/6/2019,-0.0030,0.025304423
12/7/2019,0.0008,0.025248513
12/8/2019,-0.0014,0.025238032
12/9/2019,0.0017,0.025273644
12/10/2019,-0.0022,0.025200854
12/11/2019,0.0034,0.025228216
12/12/2019,-0.0017,0.025262628
12/13/2019,0.0013,0.025176414
12/14/2019,-0.0014,0.025240431
12/15/2019,-0.0006,0.025178789
12/16/2019,-0.0005,0.025225412
12/17/2019,-0.0012,0.025226794
12/18/2019,0.0010,0.02517509
12/19/2019,-0.0002,0.025265167
12/20/2019,-0.0035,0.025257494
12/21/2019,0.0051,0.025248903
12/22/2019,-0.0060,0.025197534
12/23/2019,0.0011,0.025251156
12/24/2019,0.0048,0.025208934
12/25/2019,0.0031,0.025216779
12/26/2019,-0.0029,0.025240872
12/27/2019,-0.0040,0.02517884
12/28/2019,0.0069,0.025139095
12/29/2019,-0.0014,0.025124588
12/30/2019,0.0008,0.025194666
12/31/2019,-0.0047,0.025113631
1/1/2020,0.0037,0.025182012
1/2/2020,-0.0001,0.02509887
1/3/2020,0.0005,0.025171865
1/4/2020,0.0000,0.025112023
1/5/2020,-0.0035,0.025163849
1/6/2020,0.0038,0.02515787
1/7/2020,-0.0024,0.025104788
1/8/2020,-0.0021,0.02519251
1/9/2020,0.0045,0.025147274
1/10/2020,0.0003,0.02517801
1/11/2020,0.0012,0.025184738
1/12/2020,-0.0002,0.025174621
1/13/2020,0.0058,0.025172586
1/14/2020,-0.0036,0.025166216
1/15/2020,-0.0010,0.025120262
1/16/2020,-0.0006,0.025133403
1/17/2020,0.0039,0.025179113
1/18/2020,-0.0007,0.025176246
1/19/2020,-0.0028,0.025120073
1/20/2020,0.0076,0.025084377
1/21/2020,-0.0019,0.025161429
1/22/2020,0.0005,0.025160105
1/23/2020,-0.0020,0.025146382
1/24/2020,0.0027,0.025152436
1/25/2020,-0.0021,0.025086019
1/26/2020,-0.0018,0.025074627
1/27/2020,0.0006,0.025126409
1/28/2020,0.0014,0.025061626
1/29/2020,-0.0005,0.025062566
1/30/2020,0.0001,0.025134923
1/31/2020,0.0003,0.025051811
2/1/2020,0.0018,0.02507414
2/2/2020,0.0033,0.025034295
2/3/2020,0.0012,0.025106846
2/4/2020,-0.0008,0.025016103
2/5/2020,0.0020,0.025010142
2/6/2020,-0.0007,0.025101601
2/7/2020,0.0018,0.025095319
2/8/2020,-0.0004,0.025086207
2/9/2020,-0.0004,0.024999217
2/10/2020,-0.0009,0.025074252
2/11/2020,0.0038,0.024995127
2/12/2020,0.0016,0.024996744
2/13/2020,-0.0011,0.024987235
2/14/2020,0.0006,0.025037529
2/15/2020,0.0030,0.025051498
2/16/2020,-0.0028,0.024980758
2/17/2020,0.0040,0.025054963
